CIBB	2016	Thirteenth International meeting on Computational Intelligence methods for Bioinformatics and Biostatistics	STIRLING
CICCI	2013	2nd International Conference on Informatics and Computer Sciences	LA HABANA
CIDM	2015	IEEE Symposium on Computational Intelligence and Data Mining	CAPE TOWN
CIDR	2013	6th BIENNIAL CONFERENCE ON INNOVATIVE DATA SYSTEMS RESEARCH	ASILOMAR
CIESC	2013	XXI Iberoamerican Congress on Higher Education in Computing	NAIGUATÁ
CIG / CEEC	2016	Special Session on Computational Intelligence and Games at CEEC 2016	COLCHESTER
CIG	2016	IEEE Computational Intelligence and Games Conference	SANTORINI ISLAND
CIIISI	2016	III Congreso Internacional de Ingeniería Informática y Sistemas de Información	LA HABANA
CIIS	2016	Computational Intelligence in Information Systems	BRUNEI
CIKM	2011	20th ACM International Conference on Information and Knowledge Management	GLASGOW
CIKM	2012	21st ACM International Conference on Information and Knowledge Management	MAUI
CIKM	2015	Conference on Information and Knowledge Management	MELBOURNE
CIKM	2017	The 26th 2017 ACM Conference on Information and Knowledge Management	SINGAPORE
CIKM Posters	2012	Posters: 21st ACM International Conference on Information and Knowledge Management	MAUI
CISIM	2012	11th International Conference on Computer Information Systems and Industrial Management Applications	VENICE
CITI	2016	2nd International Conference on Technologies and Innovation	GUAYAQUIL
CLA	2016	The 13th International Conference on Concept Lattices and their Applications	MOSCOW
CLEI	2013	XXXIX Conferencia Latinoamericana en Informática	NAIGUATÁ
CLOSER	2017	7th International Conference on Cloud Computing and Services Science	PORTO
CloudDB	2011	Third International Workshop on Cloud Data Management	GLASGOW
CloudDB	2012	The Fourth International Workshop on Cloud Data Management	MAUI
CloudDB	2013	The Fifth International workshop on Cloud Data Management	SAN FRANCISCO
CloudDB	2014	The 6th International workshop on Cloud Data Management	CHICAGO
Cloud-I	2013	2nd International Workshop on Cloud Intelligence	RIVA DEL GARDA
CLTM	2013	LATIN-AMERICAN MASTER THESIS CONTEST	NAIGUATÁ
